Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC
TRICOLOUR-2 PLANT,Consumable,Nos,TRICOLOUR-2 PLANT,98059000
PEPEROMIA PLANT,Consumable,Nos,PEPEROMIA PLANT,98059000
DRACO PLANT,Consumable,Nos,DRACO PLANT,98059000
PANDANUS PLANT,Consumable,Nos,PANDANUS PLANT,98059000
ROHIYA PLANT,Consumable,Nos,ROHIYA PLANT,98059000
PLUMBING ITEMS,Consumable,Nos,PLUMBING ITEMS,98059000
MTB 330I W R OVT/36 DEGREE /L321/H44,Consumable,Nos,MTB 330I W R OVT/36 DEGREE /L321/H44,98059000
"INSUL . RING DIA18,2/DIA10,2X2,9",Consumable,Nos,"INSUL . RING DIA18,2/DIA10,2X2,9",98059000
NOZZLE STOCK M6/SW 10X20 CU,Consumable,Nos,NOZZLE STOCK M6/SW 10X20 CU,98059000
"SPATTER GAURD  DIA 8,2/ DIA 17X12",Consumable,Nos,"SPATTER GAURD  DIA 8,2/ DIA 17X12",98059000
GAS NOZZLE DIA 13/DIA25X41 CT,Consumable,Nos,GAS NOZZLE DIA 13/DIA25X41 CT,98059000
CONTACT TIP 1.2/M6/8X24MM -AL,Consumable,Nos,CONTACT TIP 1.2/M6/8X24MM -AL,98059000
KOEL CARE PREMIUM GENUINE OIL 5 LTR CAN,Consumable,Nos,KOEL CARE PREMIUM GENUINE OIL 5 LTR CAN,98059000
FUEL FILTER ELEMENT PRE,Consumable,Nos,FUEL FILTER ELEMENT PRE,98059000
FUEL FILTER ELEMENT MICRO,Consumable,Nos,FUEL FILTER ELEMENT MICRO,98059000
STANLY WIRE CUTTER,Consumable,Nos,STANLY WIRE CUTTER,98059000
MAGNETIC LINEAR TAPE,Consumable,Nos,MAGNETIC LINEAR TAPE,98059000
PREVENTIVE MAINTENANCE NAME PLATE (300X200MM),Consumable,Nos,PREVENTIVE MAINTENANCE NAME PLATE (300X200MM),98059000
NUMERIC PLATE (200 X 200 MM) (1 TO 120),Consumable,Nos,NUMERIC PLATE (200 X 200 MM) (1 TO 120),98059000
CONDUIT 16 MM DIA,Consumable,Nos,CONDUIT 16 MM DIA,98059000
CONDUIT 25 MM DIA,Consumable,Nos,CONDUIT 25 MM DIA,98059000
3/8 *8 MM FLOW CONTROL VALVE-JANATICS,Consumable,Nos,3/8 *8 MM FLOW CONTROL VALVE-JANATICS,98059000
OIL BOND WHITE COLOUR -20 LTR BUCKET,Consumable,Nos,OIL BOND WHITE COLOUR -20 LTR BUCKET,98059000
PAINTING ROLLER 9 INCH,Consumable,Nos,PAINTING ROLLER 9 INCH,98059000
WASTE COUPLING,Consumable,Nos,WASTE COUPLING,98059000
C I BRACKET,Consumable,Nos,C I BRACKET,98059000
RACK BOLT,Consumable,Nos,RACK BOLT,98059000
EVARA PILLER COCK,Consumable,Nos,EVARA PILLER COCK,98059000
24 INCH PVC CONNECTION,Consumable,Nos,24 INCH PVC CONNECTION,98059000
WHITE CEMENT 1 KG,Consumable,Nos,WHITE CEMENT 1 KG,98059000
EVARA BIB COCK,Consumable,Nos,EVARA BIB COCK,98059000
SINK COCK,Consumable,Nos,SINK COCK,98059000
EXTENSION PEICE 1 INCH,Consumable,Nos,EXTENSION PEICE 1 INCH,98059000
C P FLANGE,Consumable,Nos,C P FLANGE,98059000
EVARA CON. STOP COCK,Consumable,Nos,EVARA CON. STOP COCK,98059000
3/4X1/2 INCH CPVC R/MTA METALLIC,Consumable,Nos,3/4X1/2 INCH CPVC R/MTA METALLIC,98059000
75 MM PVC NANI TRAP,Consumable,Nos,75 MM PVC NANI TRAP,98059000
75 MM SWR PLAIN BEND,Consumable,Nos,75 MM SWR PLAIN BEND,98059000
110MM SWR PLAIN BEND,Consumable,Nos,110MM SWR PLAIN BEND,98059000
110MM SWR PLAIN TEE,Consumable,Nos,110MM SWR PLAIN TEE,98059000
WOOD SCREW 50X8,Consumable,Nos,WOOD SCREW 50X8,98059000
WOOD SCRE 75X10,Consumable,Nos,WOOD SCRE 75X10,98059000
EVARA 2 WAY TAP,Consumable,Nos,EVARA 2 WAY TAP,98059000
ALD-CHR-573 HEALTH FAUCET 1.2 MT FLEX TUBE,Consumable,Nos,ALD-CHR-573 HEALTH FAUCET 1.2 MT FLEX TUBE,98059000
1 INCH UPVC UNION,Consumable,Nos,1 INCH UPVC UNION,98059000
1 INCH UPVC FTA METALLIC,Consumable,Nos,1 INCH UPVC FTA METALLIC,98059000
1 INCH UPVC PIPE 80 SCH,Consumable,Nos,1 INCH UPVC PIPE 80 SCH,98059000
50 MM PVC PIPE 10FT,Consumable,Nos,50 MM PVC PIPE 10FT,98059000
SUPREME A TYPE 110MM 10FT,Consumable,Nos,SUPREME A TYPE 110MM 10FT,98059000
SUPREME A TYPE 75MM 10 FT,Consumable,Nos,SUPREME A TYPE 75MM 10 FT,98059000
