Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Item Type Standard
MS SUPPORT PLATE 140X47.5X15 MM,MS,Kg,MS SUPPORT PLATE 140X47.5X15 MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS SUPPORT BLOCK WITH ALUMINIUM BLOCK AT END 110X60X10 MM,MS,Kg,MS SUPPORT BLOCK WITH ALUMINIUM BLOCK AT END 110X60X10 MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 140X100X15 MM WITH SLOTS,MS,Kg,MS PLATE 140X100X15 MM WITH SLOTS,,NA,NA,NATURAL,0,0,,Non-Standard
MS PLATE 250X60X15 MM WITH SLOTS,MS,Kg,MS PLATE 250X60X15 MM WITH SLOTS,,NA,NA,NATURAL,0,0,,Non-Standard
MS SQUARE TUBE 50X50X2 MM,MS,Kg,MS SQUARE TUBE 50X50X2 MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS ANGLE 25X25X3MM,MS,Kg,MS ANGLE 25X25X3MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS T ANGLE 60X40X5 MM,MS,Kg,MS T ANGLE 60X40X5 MM,,NA,NA,NATURAL,0,0,,Non-Standard
C CHANNEL 125X65X4.8 MM,MS,Kg,C CHANNEL 125X65X4.8 MM,,NA,NA,NATURAL,0,0,,Non-Standard
"MILLING, ROTORY & DRILLING CHARGES FOR MS PLATE 2800X900X30 MM",MS,Kg,"MILLING, ROTORY & DRILLING CHARGES FOR MS PLATE 2800X900X30 MM",,NA,NA,NATURAL,0,0,,Non-Standard
MS PIPE 50X50X2 MM - SEMI COIL (LENGTH 6 MTR),MS,Kg,MS PIPE 50X50X2 MM - SEMI COIL (LENGTH 6 MTR),,NA,NA,NATURAL,0,0,,Non-Standard
JALI,MS,Kg,JALI,,NA,NA,NATURAL,0,0,,Non-Standard
"MS BUSH (OD 71 MM, ID- 26 MM & LENGTH 105 MM) WITH MACHINING",MS,Kg,"MS BUSH (OD 71 MM, ID- 26 MM & LENGTH 105 MM) WITH MACHINING",,NA,NA,NATURAL,0,0,,Non-Standard
MS ROTORY FIXTURE AS PER DRAWING,MS,Kg,MS ROTORY FIXTURE AS PER DRAWING,,NA,NA,NATURAL,0,0,,Non-Standard
PVC CONE 22 MM INTERNAL DIA,MS,Kg,PVC CONE 22 MM INTERNAL DIA,,NA,Finished,NATURAL,0,0,,Non-Standard
POLYTHENE TUBE 53 MM WIDTH X 135 MTR LONG,MS,Kg,POLYTHENE TUBE 53 MM WIDTH X 135 MTR LONG,,NA,Finished,NATURAL,0,0,,Non-Standard
MS SQ.TUBE 40 X 40 X 4 THK,MS,Kg,MS SQ.TUBE 40 X 40 X 4 THK,,NA,Finished,NATURAL,0,0,,Non-Standard
PIPE 60.3 OD X 3.2 THK,MS,Kg,PIPE 60.3 OD X 3.2 THK,"
76041031",NA,NA,NATURAL,0,0,,Non-Standard
PIPE 48.3 OD X 2 THK,MS,Kg,PIPE 48.3 OD X 2 THK,76041031,NA,Semi-Finished,NATURAL,0,0,,Non-Standard
140 X 140 X 5 THK PROP BOTTOM PLATE,MS,Kg,140 X 140 X 5 THK PROP BOTTOM PLATE,,NA,Finished,NATURAL,0,0,,Non-Standard
PROP TOP PLATE 95 X 95 X 5 THK.,MS,Kg,PROP TOP PLATE 95 X 95 X 5 THK.,,NA,Finished,NATURAL,0,0,,Non-Standard
ROD 10 MM DIA - PROP G PIN,MS,Kg,ROD 10 MM DIA - PROP G PIN,,NA,Finished,NATURAL,3,0,,Non-Standard
MS PIN,MS,Kg,MS PIN,,NA,Finished,NATURAL,0,0,,Non-Standard
MS WEDGES,MS,Kg,MS WEDGES,,NA,Finished,NATURAL,0,0,,Non-Standard
MS ROUND PIPE Ø 48 OD X 2.5 THK,MS,Kg,MS ROUND PIPE Ø 48 OD X 2.5 THK,,NA,Mill,NATURAL,0,0,,Non-Standard
MS RECTANGLE TUBE 75X50X2.5 MM,MS,Kg,MS RECTANGLE TUBE 75X50X2.5 MM,,NA,NA,NATURAL,0,0,,Non-Standard
MS RECTANGLE TUBE 25X50X2.5 MM,MS,Kg,MS RECTANGLE TUBE 25X50X2.5 MM,,NA,NA,NATURAL,0,0,,Non-Standard
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
